arm,metric,mean,sd,min,max,n
base,strict_nonmath_dedup,0.0,0.0,0.0,0.0,1
A,strict_nonmath_dedup,0.10317460317460318,0.013420386169115757,0.08928571428571429,0.11607142857142858,3
B_broad,strict_nonmath_dedup,0.9454365079365079,0.015272623331687147,0.9285714285714286,0.9583333333333334,3
C_masked,strict_nonmath_dedup,0.9742063492063492,0.004546206046583159,0.9702380952380952,0.9791666666666666,3
