arm,metric,mean,sd,se,min,max,n
base,strict_nonmath_dedup,0.0,0.0,0.0,0.0,0.0,1
A,strict_nonmath_dedup,0.10218253968253968,0.012028130608117204,0.006944444444444445,0.08928571428571429,0.1130952380952381,3
B_broad,strict_nonmath_dedup,0.9434523809523809,0.019516186084232126,0.011267675289286247,0.9226190476190477,0.9613095238095238,3
filler_form,strict_nonmath_dedup,0.4454365079365079,0.06273576092762846,0.0362205084593823,0.39285714285714285,0.5148809523809523,3
filler_plain,strict_nonmath_dedup,0.625,0.0051549131177644975,0.0029761904761904656,0.6190476190476191,0.6279761904761905,3
